ID,VelkySgSNID,MalySgSNID,VelkySgSN,MalySgSN
74,1234,48,Materialismus historický,Materialismus historický (MSgS)
75,1259,83,Město,Město (MSgS)
76,1273,47,Metoda historická,Metoda historická (MSgS)
77,1294,82,Metody sociologické,"Metody, procedury a techniky (MSgS)"
78,1295,163,Metody sociometrické,Test sociometrický (MSgS)
79,1310,193,Mínění veřejné,Mínění veřejné (MSgS)
80,1320,84,Mládež,Mládež (MSgS)
81,1325,85,Mobilita sociální,Mobilita sociální (MSgS)
82,1327,86,Moc,Moc (MSgS)
83,1329,88,Model,Model a modelování v sociologii (MSgS)
84,1348,90,Morálka,Morálka (MSgS)
85,1351,91,Motivace,Motivace (MSgS)
86,1364,92,Náboženství,Náboženství (MSgS)
87,1385,93,Národ,Národ (MSgS)
88,1385,94,Národ,Otázka národnostní (MSgS)
89,1439,96,Obec,Obec (MSgS)
90,1463,98,Odcizení,Odcizení (MSgS)
91,1486,99,Operacionalismus,Operacionalismus (MSgS)
92,1497,101,Organizace,Organizace (MSgS)
93,1510,103,Osobnost,Osobnost (MSgS)
94,1522,104,Osvěta,Osvěta (MSgS)
95,1539,105,Otroctví,Řád otrokářský (MSgS)
96,1568,147,Patologie sociální,Patologie sociální (MSgS)
97,1595,107,Pilotáž,Pilotáž (MSgS)
98,1610,37,Poddanství,Feudalismus (MSgS)
99,1633,110,Politika,Politika (MSgS)
100,1648,111,Politologie,Politologie (MSgS)
101,1659,113,Populace,Populace (MSgS)
102,1681,114,Postoj,Postoje (MSgS)
103,1689,115,Potřeby,Potřeby a zájmy (MSgS)
104,1701,118,Pozorování,Pozorování (MSgS)
105,1703,119,Práce,Práce (MSgS)
106,1707,133,Práce s veřejností,Public relations (MSgS)
107,1716,121,Právo,Právo (MSgS)
108,1727,122,Praxeologie,Praxeologie (MSgS)
109,1733,123,Prestiž,Prestiž (MSgS)
110,1750,89,Procedura monografická,Procedura monografická (MSgS)
111,1758,116,Profese,Povolání (MSgS)
112,1792,124,Propaganda,Propaganda (MSgS)
113,1796,125,Prostituce,Prostituce (MSgS)
114,1799,44,Prostředí geografické,Podmínky geografické (MSgS)
115,1823,129,Příbuzenství,Soustavy příbuzenské (MSgS)
116,1837,130,Psychoanalýza,Psychoanalýza (MSgS)
117,1838,131,Psychodrama,Psychodrama a sociodrama (MSgS)
118,1856,148,Psychologie sociální,Psychologie sociální (MSgS)
119,1860,132,Psychologismus,Psychologismus (MSgS)
120,1883,134,Rasa,Rasa a rasové vztahy (MSgS)
121,1914,137,Reliabilita,Technika reliabilní (MSgS)
122,1914,168,Reliabilita,Spolehlivost (MSgS)
123,1919,199,Reprezentativita,Vzorek reprezentativní (MSgS)
124,1931,149,Revoluce,Revoluce sociální (MSgS)
125,1941,195,Revoluce vědeckotechnická,Revoluce vědeckotechnická (MSgS)
126,1951,138,Rodina,Rodina (MSgS)
127,1955,139,Rolnictvo,Rolnictvo (MSgS)
128,1960,15,Romové,Otázka cikánská (MSgS)
129,2014,141,Sebevražda,Sebevražda (MSgS)
130,2064,135,Skupina referenční,Skupina referenční (MSgS)
131,2067,76,Skupina společenská,Skupina sociální malá (MSgS)
132,2067,143,Skupina společenská,Skupiny společenské (MSgS)
133,2089,144,Socialismus,Společnost socialistická (MSgS)
134,2101,145,Socializace,Socializace (MSgS)
135,2112,150,Sociologie,Sociografie (MSgS)
136,2112,154,Sociologie,Sociologie (MSgS)
137,2117,155,Sociologie americká,Sociologie americká (MSgS)
138,2122,156,Sociologie britská,Sociologie britská (MSgS)
139,2127,157,Sociologie česká do r. 1948,Sociologie česká a slovenská (MSgS)
140,2143,40,Sociologie formální,Škola formalistická (MSgS)
141,2144,158,Sociologie francouzská,Sociologie francouzská (MSgS)
142,2168,71,Sociologie kybernetická,Kybernetika a sociologie (MSgS)
143,2178,72,Sociologie medicíny,Sociologie lékařská (MSgS)
144,2183,87,Sociologie módy,Móda (MSgS)
145,2187,159,Sociologie německá,Sociologie německá (MSgS)
146,2196,127,Sociologie podniku,Podnik průmyslový (MSgS)
147,2196,201,Sociologie podniku,Zaměstnanci (MSgS)
148,2200,95,Sociologie pozitivistická,Sociologie novopozitivistická (MSgS)
149,2200,117,Sociologie pozitivistická,Pozitivismus (MSgS)
150,2201,120,Sociologie práce,Skupina pracovní (MSgS)
151,2204,126,Sociologie průmyslu,Průmysl (MSgS)
152,2247,161,Sociologie vědění,Sociologie vědění (MSgS)
153,2255,162,Sociologismus,Sociologismus (MSgS)
154,2256,164,Sociometrie,Sociometrie (MSgS)
155,2272,74,Sousedství,Skupiny lokální (MSgS)
156,2286,167,Společnost,"Společnost, společenská skutečnost (MSgS)"
157,2289,53,Společnost industriální,Společnost industriální (MSgS)
158,2294,81,Společnost masová,Společnost masová a kultura masová (MSgS)
159,2302,128,Společnost primitivní,Společnost předtřídní (MSgS)
160,2321,169,Sport,Sport (MSgS)
161,2341,170,Stát,Stát (MSgS)
162,2357,171,Statistiky,Statistika (MSgS)
163,2358,172,Status,Status a role (MSgS)
164,2368,173,Stereotyp,Stereotyp (MSgS)
165,2378,109,Strana politická,Strany politické (MSgS)
166,2384,174,Strategie výzkumná,Strategie sociologického výzkumu (MSgS)
167,2385,175,Stratifikace sociální,Stratifikace sociální (MSgS)
168,2391,177,Struktura,Struktura (MSgS)
169,2393,178,Struktura sociální,Struktura sociální (MSgS)
170,2407,206,Styl životní,Styl životní (MSgS)
171,2445,27,Šetření dotazníkové,Šetření dotazníkové (MSgS)
172,2447,106,Šetření panelové,Panel (MSgS)
173,2451,181,Škálování,Škály a škálování (MSgS)
174,2488,183,Technika,Technika (MSgS)
175,2494,70,Techniky sběru informací,Kvantifikace (MSgS)
176,2499,184,Technokratismus,Technokratismus (MSgS)
177,2528,65,Teorie konfliktu,Konflikt a teorie konfliktu (MSgS)
178,2548,41,Teorie sociálních sítí,Vztahy skupinové formální a neformální (MSgS)
179,2609,140,„třetí svět“,Země rozvojové (MSgS)
180,2611,186,Třída,Třídy a třídní boj (MSgS)
181,2612,23,Třída dělnická,Třída dělnická (MSgS)
182,2618,179,Třída střední,Třídy střední (MSgS)
183,2626,187,Typologie,Typ a typologie v sociologii (MSgS)
184,2654,188,Urbanizace,Urbanizace (MSgS)
185,2663,189,Utopie,Utopie sociální (MSgS)
186,2669,108,Validita,Platnost (MSgS)
187,2671,190,Válka,Válka (MSgS)
188,2680,194,Věda,Věda (MSgS)
189,2711,192,Venkov,Venkov (MSgS)
190,2758,198,Výchova,Výchova (MSgS)
191,2776,152,Výzkum empirický,Výzkum sociologický (MSgS)
192,2793,182,Vzdělávání,Školství (MSgS)
193,2817,200,Základna materiálně-technická,Základna a nadstavba (MSgS)
194,2838,202,Zemědělství,Zemědělství (MSgS)
195,2850,203,Znak,Znak (MSgS)
196,2853,204,Zoosociologie a zoopsychologie,Zoosociologie (MSgS)
197,2868,205,Žena,Žena a její postavení ve společnosti (MSgS)
