ID,SizcNID,InstituceNID,SizcN,InstituceN
157,59,9,Vysoká škola strojní a elektrotechnická v Plzni,Dům techniky ČSVTS Pardubice
159,116,9,Analýza (časopis),Dům techniky ČSVTS Pardubice
161,121,9,Kategorie:Státní a veřejné výzkumné instituce,Dům techniky ČSVTS Pardubice
163,125,9,Kategorie:Ostatní subjekty se vztahem k sociologii,Dům techniky ČSVTS Pardubice
165,121,11,Kategorie:Státní a veřejné výzkumné instituce,Institut sociologie venkova a historie zemědělství VÚZEI
167,6,12,Československý ústav zahraniční,Masarykova akademie práce
170,121,12,Kategorie:Státní a veřejné výzkumné instituce,Masarykova akademie práce
172,121,13,Kategorie:Státní a veřejné výzkumné instituce,Slezský studijní ústav v Opavě
174,121,14,Kategorie:Státní a veřejné výzkumné instituce,Slezský ústav v Praze
176,121,15,Kategorie:Státní a veřejné výzkumné instituce,Sociologický ústav AV ČR
179,9,16,Dům techniky ČSVTS Pardubice,Sociologický ústav ČSAV
181,10,16,Etnologický ústav AV ČR,Sociologický ústav ČSAV
183,15,16,Sociologický ústav AV ČR,Sociologický ústav ČSAV
186,26,16,Ústav sociálně politických věd UK,Sociologický ústav ČSAV
188,64,16,Československá sociologická společnost při ČSAV,Sociologický ústav ČSAV
190,121,16,Kategorie:Státní a veřejné výzkumné instituce,Sociologický ústav ČSAV
192,23,17,Ústav pro sociální a hospodářskou výchovu ČSS,Sociologický ústav ČSS
195,121,17,Kategorie:Státní a veřejné výzkumné instituce,Sociologický ústav ČSS
197,121,18,Kategorie:Státní a veřejné výzkumné instituce,Sportpropag
199,6,19,Československý ústav zahraniční,Státní úřad statistický
201,95,19,Sociální problémy,Státní úřad statistický
205,117,19,Demografie (časopis),Státní úřad statistický
207,121,19,Kategorie:Státní a veřejné výzkumné instituce,Státní úřad statistický
209,125,19,Kategorie:Ostatní subjekty se vztahem k sociologii,Státní úřad statistický
212,30,20,Výzkumný ústav sociálního rozvoje a práce,Sociální ústav ČSR
216,121,20,Kategorie:Státní a veřejné výzkumné instituce,Sociální ústav ČSR
218,121,21,Kategorie:Státní a veřejné výzkumné instituce,Ukrajinský sociologický ústav
220,4,22,Vědecké kolegium filosofie a sociologie ČSAV,Ústav pro filosofii a sociologii ČSAV
222,15,22,Sociologický ústav AV ČR,Ústav pro filosofii a sociologii ČSAV
225,102,22,Sociologické aktuality,Ústav pro filosofii a sociologii ČSAV
228,121,22,Kategorie:Státní a veřejné výzkumné instituce,Ústav pro filosofii a sociologii ČSAV
231,121,23,Kategorie:Státní a veřejné výzkumné instituce,Ústav pro sociální a hospodářskou výchovu ČSS
233,4,24,Vědecké kolegium filosofie a sociologie ČSAV,Ústav pro výzkum veřejného mínění ČSAV
237,121,24,Kategorie:Státní a veřejné výzkumné instituce,Ústav pro výzkum veřejného mínění ČSAV
239,125,24,Kategorie:Ostatní subjekty se vztahem k sociologii,Ústav pro výzkum veřejného mínění ČSAV
241,15,25,Sociologický ústav AV ČR,Ústav pro výzkum veřejného mínění FSÚ
243,19,25,Státní úřad statistický,Ústav pro výzkum veřejného mínění FSÚ
247,125,25,Kategorie:Ostatní subjekty se vztahem k sociologii,Ústav pro výzkum veřejného mínění FSÚ
249,39,26,Karlova univerzita v Praze,Ústav sociálně politických věd UK
253,121,26,Kategorie:Státní a veřejné výzkumné instituce,Ústav sociálně politických věd UK
255,4,27,Vědecké kolegium filosofie a sociologie ČSAV,Ústav vědeckého ateismu ČSAV
258,121,27,Kategorie:Státní a veřejné výzkumné instituce,Ústav vědeckého ateismu ČSAV
260,121,28,Kategorie:Státní a veřejné výzkumné instituce,Vojenský sociologický kruh
264,121,29,Kategorie:Státní a veřejné výzkumné instituce,Výzkumný ústav práce a sociálních věcí
268,121,31,Kategorie:Státní a veřejné výzkumné instituce,Výzkumný ústav strojírenské technologie a ekonomiky
270,121,32,Kategorie:Státní a veřejné výzkumné instituce,Výzkumný ústav výstavby a architektury
272,37,33,Husova československá evangelická teologická fakulta v Praze,Biskupské semináře
274,39,33,Karlova univerzita v Praze,Biskupské semináře
276,45,33,Palackého univerzita v Olomouci,Biskupské semináře
278,122,33,"Kategorie:Vysoké, případně vyšší školy",Biskupské semináře
280,105,35,Sociologie a historie zemědělství,Česká zemědělská univerzita v Praze
282,122,36,"Kategorie:Vysoké, případně vyšší školy",České vysoké učení technické v Praze
284,122,39,"Kategorie:Vysoké, případně vyšší školy",Karlova univerzita v Praze
286,122,40,"Kategorie:Vysoké, případně vyšší školy",Komenského univerzita v Bratislavě
288,122,41,"Kategorie:Vysoké, případně vyšší školy",Masarykova univerzita v Brně
290,122,43,"Kategorie:Vysoké, případně vyšší školy",Německá univerzita v Praze
292,122,45,"Kategorie:Vysoké, případně vyšší školy",Palackého univerzita v Olomouci
294,122,47,"Kategorie:Vysoké, případně vyšší školy",Svobodná škola politických nauk v Praze
296,122,48,"Kategorie:Vysoké, případně vyšší školy",Ukrajinská svobodná univerzita v Praze
298,122,56,"Kategorie:Vysoké, případně vyšší školy",Vysoká škola politická a sociální v Praze
304,17,63,Sociologický ústav ČSS,Česká sociologická společnost
306,61,63,Česká asociace pro sociální antropologii,Česká sociologická společnost
309,102,63,Sociologické aktuality,Česká sociologická společnost
312,61,64,Česká asociace pro sociální antropologii,Československá sociologická společnost při ČSAV
316,65,64,Masarykova sociologická společnost,Československá sociologická společnost při ČSAV
319,115,64,Sociologické nakladatelství (SLON),Československá sociologická společnost při ČSAV
325,41,65,Masarykova univerzita v Brně,Masarykova sociologická společnost
328,96,65,Sociální revue,Masarykova sociologická společnost
331,112,65,Knihovna Sociálních problémů,Masarykova sociologická společnost
334,121,65,Kategorie:Státní a veřejné výzkumné instituce,Masarykova sociologická společnost
339,20,68,Sociální ústav ČSR,Společnost pro sociální bádání
341,61,68,Česká asociace pro sociální antropologii,Společnost pro sociální bádání
347,113,68,Sociologická knihovna MSS,Společnost pro sociální bádání
352,115,70,Sociologické nakladatelství (SLON),Knihovna Sociálních problémů
356,115,71,Sociologické nakladatelství (SLON),Sociologická knihovna MSS
359,102,73,Sociologické aktuality,Sociologické nakladatelství (SLON)
