ID,SociologoveID1,CasopisyID2,Sociologove,Casopisy
64,73,5,Krejčí František,Česká mysl
65,78,18,Lamser Václav,Přehled vědecké a pedagogické práce kateder marxismu-leninismu
66,78,44,Lamser Václav,Demografie (časopis)
67,79,19,Librová Hana,Sborník prací Filosofické fakulty brněnské univerzity – Řada sociálněvědná (G)
68,81,33,Linhart Jiří,Sociologické aktuality
69,81,34,Linhart Jiří,Sociologický časopis / Czech Sociological Review
70,82,14,Macek Josef,Naše doba
71,82,25,Macek Josef,Sociální pracovnice
72,82,27,Macek Josef,Sociální revue
73,83,19,Macků Jan,Sborník prací Filosofické fakulty brněnské univerzity – Řada sociálněvědná (G)
74,84,16,Machonin Pavel,Nová mysl
75,84,18,Machonin Pavel,Přehled vědecké a pedagogické práce kateder marxismu-leninismu
76,85,25,Machotka Otakar,Sociální pracovnice
77,85,26,Machotka Otakar,Sociální problémy
78,85,37,Machotka Otakar,Statistický obzor
79,85,45,Machotka Otakar,Parlament (časopis)
80,86,14,Maiwald Karel,Naše doba
81,91,2,Masaryk Tomáš Garrigue,Athenaeum
82,91,5,Masaryk Tomáš Garrigue,Česká mysl
83,91,14,Masaryk Tomáš Garrigue,Naše doba
84,91,33,Masaryk Tomáš Garrigue,Sociologické aktuality
85,94,14,Mertl Jan,Naše doba
86,94,26,Mertl Jan,Sociální problémy
87,94,27,Mertl Jan,Sociální revue
88,94,45,Mertl Jan,Parlament (časopis)
89,96,14,Modráček František,Naše doba
90,96,32,Modráček František,Sociologická revue
91,97,19,Možný Ivo,Sborník prací Filosofické fakulty brněnské univerzity – Řada sociálněvědná (G)
92,97,35,Možný Ivo,Sociologický obzor
93,97,44,Možný Ivo,Demografie (časopis)
94,98,33,Musil Jiří,Sociologické aktuality
95,98,34,Musil Jiří,Sociologický časopis / Czech Sociological Review
96,98,37,Musil Jiří,Statistický obzor
97,98,44,Musil Jiří,Demografie (časopis)
98,100,32,Nejedlý Zdeněk,Sociologická revue
99,102,19,Nový Lubomír,Sborník prací Filosofické fakulty brněnské univerzity – Řada sociálněvědná (G)
100,103,32,Obrdlík Antonín,Sociologická revue
101,105,19,Ovesný Miroslav,Sborník prací Filosofické fakulty brněnské univerzity – Řada sociálněvědná (G)
102,106,10,Pavlík Zdeněk,Historická demografie
103,106,37,Pavlík Zdeněk,Statistický obzor
104,108,18,Petrusek Miloslav,Přehled vědecké a pedagogické práce kateder marxismu-leninismu
105,108,33,Petrusek Miloslav,Sociologické aktuality
106,108,35,Petrusek Miloslav,Sociologický obzor
107,108,40,Petrusek Miloslav,Studia sociologica
108,108,42,Petrusek Miloslav,Vědecké informace Ústavu marxismu-leninismu pro vysoké školy
109,109,26,Pistorius Theodor,Sociální problémy
110,115,5,Rádl Emanuel,Česká mysl
111,115,14,Rádl Emanuel,Naše doba
112,116,26,Reif Gustav,Sociální problémy
113,116,27,Reif Gustav,Sociální revue
114,120,26,Rouček Joseph Slabey,Sociální problémy
115,125,34,Sedláček Oto,Sociologický časopis / Czech Sociological Review
116,125,40,Sedláček Oto,Studia sociologica
117,125,43,Sedláček Oto,Analýza (časopis)
118,126,7,Sekot Aleš,Filosofický časopis
119,127,14,Schoenbaum Emil,Naše doba
120,129,32,Slaminka Vladimír,Sociologická revue
121,130,7,Slejška Dragoslav,Filosofický časopis
122,130,16,Slejška Dragoslav,Nová mysl
123,132,19,Solař Josef,Sborník prací Filosofické fakulty brněnské univerzity – Řada sociálněvědná (G)
124,134,45,Sorokin Pitirim Alexandrovič,Parlament (časopis)
125,135,10,Srb Vladimír,Historická demografie
126,135,12,Srb Vladimír,Kruh
127,135,37,Srb Vladimír,Statistický obzor
128,135,44,Srb Vladimír,Demografie (časopis)
129,137,18,Strmiska Zdeněk,Přehled vědecké a pedagogické práce kateder marxismu-leninismu
130,139,12,Suda Zdeněk,Kruh
131,141,32,Svoboda Ludvík,Sociologická revue
132,144,4,Šíma Jaroslav,Časopis Svobodné školy politických nauk v Praze
133,144,25,Šíma Jaroslav,Sociální pracovnice
134,144,32,Šíma Jaroslav,Sociologická revue
135,145,5,Škrach Vasil Kaprálek,Česká mysl
136,150,25,Štefánek Anton,Sociální pracovnice
137,150,32,Štefánek Anton,Sociologická revue
138,151,14,Štern Evžen,Naše doba
139,152,16,Tauber Jan Bohumil,Nová mysl
140,152,36,Tauber Jan Bohumil,Sociologie a historie zemědělství
141,154,23,Teltšík Rudolf,Sociální práce
142,154,27,Teltšík Rudolf,Sociální revue
143,155,16,Tlustý Vojtěch,Nová mysl
144,159,14,Uhlíř Antonín,Naše doba
145,159,27,Uhlíř Antonín,Sociální revue
146,160,5,Ullrich Zdeněk,Česká mysl
147,160,12,Ullrich Zdeněk,Kruh
148,160,26,Ullrich Zdeněk,Sociální problémy
149,160,37,Ullrich Zdeněk,Statistický obzor
150,160,45,Ullrich Zdeněk,Parlament (časopis)
151,161,34,Urbánek Eduard,Sociologický časopis / Czech Sociological Review
152,161,40,Urbánek Eduard,Studia sociologica
153,163,32,Václavek Bedřich,Sociologická revue
154,165,28,Vašek Bedřich,Sociální rozhledy
155,166,18,Večerník Jiří,Přehled vědecké a pedagogické práce kateder marxismu-leninismu
156,166,34,Večerník Jiří,Sociologický časopis / Czech Sociological Review
157,166,44,Večerník Jiří,Demografie (časopis)
158,167,4,Verunáč Václav,Časopis Svobodné školy politických nauk v Praze
159,167,26,Verunáč Václav,Sociální problémy
160,167,45,Verunáč Václav,Parlament (časopis)
161,168,26,Voráček Josef,Sociální problémy
162,169,26,Vybral Vladimír,Sociální problémy
163,171,45,Weyr František,Parlament (časopis)
164,176,32,Zwicker Bruno,Sociologická revue
165,177,27,Žalud Augustin,Sociální revue
166,19,2,Durdík Josef,Athenaeum
167,26,2,Fořt Josef,Athenaeum
168,2,3,Alan Josef,Biograf
169,69,5,Korčák Jaromír,Česká mysl
170,159,5,Uhlíř Antonín,Česká mysl
171,40,7,Havelka Miloš,Filosofický časopis
172,65,7,Klofáč Jaroslav,Filosofický časopis
173,72,7,Král Josef,Filosofický časopis
174,177,14,Žalud Augustin,Naše doba
175,112,26,Potužil František,Sociální problémy
176,145,26,Škrach Vasil Kaprálek,Sociální problémy
177,146,26,Šmejkal Karel,Sociální problémy
178,144,27,Šíma Jaroslav,Sociální revue
179,151,27,Štern Evžen,Sociální revue
180,157,31,Trapl Miloslav,Sociologica
181,66,32,Kohn Jindřich,Sociologická revue
182,72,32,Král Josef,Sociologická revue
183,85,32,Machotka Otakar,Sociologická revue
